ID;symboling;name;fueltypes;aspiration;doornumbers;carbody;drivewheels;enginelocation;wheelbase;carlength;carwidth;carheight;curbweight;enginetype;cylindernumber;enginesize;fuelsystem;boreratio;stroke;compressionratio;horsepower;peakrpm;citympg;highwaympg;price
26;1;dodge colt hardtop;gas;std;four;sedan;fwd;front;937;1573;638;506;1989;ohc;four;90;2bbl;297;323;94;68;5500;31;38;6692
27;1;dodge colt (sw);gas;std;four;sedan;fwd;front;937;1573;638;506;1989;ohc;four;90;2bbl;297;323;94;68;5500;31;38;7609
28;1;dodge coronet custom;gas;turbo;two;sedan;fwd;front;937;1573;638;506;2191;ohc;four;98;mpfi;303;339;76;102;5500;24;30;8558
29;-1;dodge dart custom;gas;std;four;wagon;fwd;front;1033;1746;646;598;2535;ohc;four;122;2bbl;334;346;85;88;5000;24;30;8921
30;3;dodge coronet custom (sw);gas;turbo;two;hatchback;fwd;front;959;1732;663;502;2811;ohc;four;156;mfi;36;39;7;145;5000;19;24;12964
31;2;honda civic;gas;std;two;hatchback;fwd;front;866;1446;639;508;1713;ohc;four;92;1bbl;291;341;96;58;4800;49;54;6479
32;2;honda civic cvcc;gas;std;two;hatchback;fwd;front;866;1446;639;508;1819;ohc;four;92;1bbl;291;341;92;76;6000;31;38;6855
33;1;honda civic;gas;std;two;hatchback;fwd;front;937;150;64;526;1837;ohc;four;79;1bbl;291;307;101;60;5500;38;42;5399
34;1;honda accord cvcc;gas;std;two;hatchback;fwd;front;937;150;64;526;1940;ohc;four;92;1bbl;291;341;92;76;6000;30;34;6529
35;1;honda civic cvcc;gas;std;two;hatchback;fwd;front;937;150;64;526;1956;ohc;four;92;1bbl;291;341;92;76;6000;30;34;7129
36;0;honda accord lx;gas;std;four;sedan;fwd;front;965;1634;64;545;2010;ohc;four;92;1bbl;291;341;92;76;6000;30;34;7295
37;0;honda civic 1500 gl;gas;std;four;wagon;fwd;front;965;1571;639;583;2024;ohc;four;92;1bbl;292;341;92;76;6000;30;34;7295
38;0;honda accord;gas;std;two;hatchback;fwd;front;965;1675;652;533;2236;ohc;four;110;1bbl;315;358;9;86;5800;27;33;7895
39;0;honda civic 1300;gas;std;two;hatchback;fwd;front;965;1675;652;533;2289;ohc;four;110;1bbl;315;358;9;86;5800;27;33;9095
40;0;honda prelude;gas;std;four;sedan;fwd;front;965;1754;652;541;2304;ohc;four;110;1bbl;315;358;9;86;5800;27;33;8845
41;0;honda accord;gas;std;four;sedan;fwd;front;965;1754;625;541;2372;ohc;four;110;1bbl;315;358;9;86;5800;27;33;10295
42;0;honda civic;gas;std;four;sedan;fwd;front;965;1754;652;541;2465;ohc;four;110;mpfi;315;358;9;101;5800;24;28;12945
43;1;honda civic (auto);gas;std;two;sedan;fwd;front;965;1691;66;51;2293;ohc;four;110;2bbl;315;358;91;100;5500;25;31;10345
44;0;isuzu MU-X;gas;std;four;sedan;rwd;front;943;1707;618;535;2337;ohc;four;111;2bbl;331;323;85;78;4800;24;29;6785
45;1;isuzu D-Max ;gas;std;two;sedan;fwd;front;945;1559;636;52;1874;ohc;four;90;2bbl;303;311;96;70;5400;38;43;89165
46;0;isuzu D-Max V-Cross;gas;std;four;sedan;fwd;front;945;1559;636;52;1909;ohc;four;90;2bbl;303;311;96;70;5400;38;43;89165
47;2;isuzu D-Max ;gas;std;two;hatchback;rwd;front;96;1726;652;514;2734;ohc;four;119;spfi;343;323;92;90;5000;24;29;11048
48;0;jaguar xj;gas;std;four;sedan;rwd;front;113;1996;696;528;4066;dohc;six;258;mpfi;363;417;81;176;4750;15;19;32250
49;0;jaguar xf;gas;std;four;sedan;rwd;front;113;1996;696;528;4066;dohc;six;258;mpfi;363;417;81;176;4750;15;19;35550
50;0;jaguar xk;gas;std;two;sedan;rwd;front;102;1917;706;478;3950;ohcv;twelve;326;mpfi;354;276;115;262;5000;13;17;36000
51;1;maxda rx3;gas;std;two;hatchback;fwd;front;931;1591;642;541;1890;ohc;four;91;2bbl;303;315;9;68;5000;30;31;5195
52;1;maxda glc deluxe;gas;std;two;hatchback;fwd;front;931;1591;642;541;1900;ohc;four;91;2bbl;303;315;9;68;5000;31;38;6095
53;1;mazda rx2 coupe;gas;std;two;hatchback;fwd;front;931;1591;642;541;1905;ohc;four;91;2bbl;303;315;9;68;5000;31;38;6795
54;1;mazda rx-4;gas;std;four;sedan;fwd;front;931;1668;642;541;1945;ohc;four;91;2bbl;303;315;9;68;5000;31;38;6695
55;1;mazda glc deluxe;gas;std;four;sedan;fwd;front;931;1668;642;541;1950;ohc;four;91;2bbl;308;315;9;68;5000;31;38;7395
56;3;mazda 626;gas;std;two;hatchback;rwd;front;953;169;657;496;2380;rotor;two;70;4bbl;333;3255;94;101;6000;17;23;10945
57;3;mazda glc;gas;std;two;hatchback;rwd;front;953;169;657;496;2380;rotor;two;70;4bbl;333;3255;94;101;6000;17;23;11845
58;3;mazda rx-7 gs;gas;std;two;hatchback;rwd;front;953;169;657;496;2385;rotor;two;70;4bbl;333;3255;94;101;6000;17;23;13645
59;3;mazda glc 4;gas;std;two;hatchback;rwd;front;953;169;657;496;2500;rotor;two;80;mpfi;333;3255;94;135;6000;16;23;15645
60;1;mazda 626;gas;std;two;hatchback;fwd;front;988;1778;665;537;2385;ohc;four;122;2bbl;339;339;86;84;4800;26;32;8845
61;0;mazda glc custom l;gas;std;four;sedan;fwd;front;988;1778;665;555;2410;ohc;four;122;2bbl;339;339;86;84;4800;26;32;8495
62;1;mazda glc custom;gas;std;two;hatchback;fwd;front;988;1778;665;537;2385;ohc;four;122;2bbl;339;339;86;84;4800;26;32;10595
63;0;mazda rx-4;gas;std;four;sedan;fwd;front;988;1778;665;555;2410;ohc;four;122;2bbl;339;339;86;84;4800;26;32;10245
64;0;mazda glc deluxe;diesel;std;four;sedan;fwd;front;988;1778;665;555;2443;ohc;four;122;idi;339;339;227;64;4650;36;42;10795
65;0;mazda 626;gas;std;four;hatchback;fwd;front;988;1778;665;555;2425;ohc;four;122;2bbl;339;339;86;84;4800;26;32;11245
66;0;mazda glc;gas;std;four;sedan;rwd;front;1049;175;661;544;2670;ohc;four;140;mpfi;376;316;8;120;5000;19;27;18280
67;0;mazda rx-7 gs;diesel;std;four;sedan;rwd;front;1049;175;661;544;2700;ohc;four;134;idi;343;364;22;72;4200;31;39;18344
68;-1;buick electra 225 custom;diesel;turbo;four;sedan;rwd;front;110;1909;703;565;3515;ohc;five;183;idi;358;364;215;123;4350;22;25;25552
69;-1;buick century luxus (sw);diesel;turbo;four;wagon;rwd;front;110;1909;703;587;3750;ohc;five;183;idi;358;364;215;123;4350;22;25;28248
70;0;buick century;diesel;turbo;two;hardtop;rwd;front;1067;1875;703;549;3495;ohc;five;183;idi;358;364;215;123;4350;22;25;28176
71;-1;buick skyhawk;diesel;turbo;four;sedan;rwd;front;1156;2026;717;563;3770;ohc;five;183;idi;358;364;215;123;4350;22;25;31600
72;-1;buick opel isuzu deluxe;gas;std;four;sedan;rwd;front;1156;2026;717;565;3740;ohcv;eight;234;mpfi;346;31;83;155;4750;16;18;34184
73;3;buick skylark;gas;std;two;convertible;rwd;front;966;1803;705;508;3685;ohcv;eight;234;mpfi;346;31;83;155;4750;16;18;35056
74;0;buick century special;gas;std;four;sedan;rwd;front;1209;2081;717;567;3900;ohcv;eight;308;mpfi;38;335;8;184;4500;14;16;40960
75;1;buick regal sport coupe (turbo);gas;std;two;hardtop;rwd;front;112;1992;72;554;3715;ohcv;eight;304;mpfi;38;335;8;184;4500;14;16;45400
76;1;mercury cougar;gas;turbo;two;hatchback;rwd;front;1027;1784;68;548;2910;ohc;four;140;mpfi;378;312;8;175;5000;19;24;16503
77;2;mitsubishi mirage;gas;std;two;hatchback;fwd;front;937;1573;644;508;1918;ohc;four;92;2bbl;297;323;94;68;5500;37;41;5389
78;2;mitsubishi lancer;gas;std;two;hatchback;fwd;front;937;1573;644;508;1944;ohc;four;92;2bbl;297;323;94;68;5500;31;38;6189
79;2;mitsubishi outlander;gas;std;two;hatchback;fwd;front;937;1573;644;508;2004;ohc;four;92;2bbl;297;323;94;68;5500;31;38;6669
80;1;mitsubishi g4;gas;turbo;two;hatchback;fwd;front;93;1573;638;508;2145;ohc;four;98;spdi;303;339;76;102;5500;24;30;7689
81;3;mitsubishi mirage g4;gas;turbo;two;hatchback;fwd;front;963;173;654;494;2370;ohc;four;110;spdi;317;346;75;116;5500;23;30;9959
82;3;mitsubishi g4;gas;std;two;hatchback;fwd;front;963;173;654;494;2328;ohc;four;122;2bbl;335;346;85;88;5000;25;32;8499
83;3;mitsubishi outlander;gas;turbo;two;hatchback;fwd;front;959;1732;663;502;2833;ohc;four;156;spdi;358;386;7;145;5000;19;24;12629
84;3;mitsubishi g4;gas;turbo;two;hatchback;fwd;front;959;1732;663;502;2921;ohc;four;156;spdi;359;386;7;145;5000;19;24;14869
85;3;mitsubishi mirage g4;gas;turbo;two;hatchback;fwd;front;959;1732;663;502;2926;ohc;four;156;spdi;359;386;7;145;5000;19;24;14489
86;1;mitsubishi montero;gas;std;four;sedan;fwd;front;963;1724;654;516;2365;ohc;four;122;2bbl;335;346;85;88;5000;25;32;6989
87;1;mitsubishi pajero;gas;std;four;sedan;fwd;front;963;1724;654;516;2405;ohc;four;122;2bbl;335;346;85;88;5000;25;32;8189
88;1;mitsubishi outlander;gas;turbo;four;sedan;fwd;front;963;1724;654;516;2403;ohc;four;110;spdi;317;346;75;116;5500;23;30;9279
89;-1;mitsubishi mirage g4;gas;std;four;sedan;fwd;front;963;1724;654;516;2403;ohc;four;110;spdi;317;346;75;116;5500;23;30;9279
90;1;Nissan versa;gas;std;two;sedan;fwd;front;945;1653;638;545;1889;ohc;four;97;2bbl;315;329;94;69;5200;31;37;5499
91;1;nissan gt-r;diesel;std;two;sedan;fwd;front;945;1653;638;545;2017;ohc;four;103;idi;299;347;219;55;4800;45;50;7099
92;1;nissan rogue;gas;std;two;sedan;fwd;front;945;1653;638;545;1918;ohc;four;97;2bbl;315;329;94;69;5200;31;37;6649
93;1;nissan latio;gas;std;four;sedan;fwd;front;945;1653;638;545;1938;ohc;four;97;2bbl;315;329;94;69;5200;31;37;6849
94;1;nissan titan;gas;std;four;wagon;fwd;front;945;1702;638;535;2024;ohc;four;97;2bbl;315;329;94;69;5200;31;37;7349
95;1;nissan leaf;gas;std;two;sedan;fwd;front;945;1653;638;545;1951;ohc;four;97;2bbl;315;329;94;69;5200;31;37;7299
96;1;nissan juke;gas;std;two;hatchback;fwd;front;945;1656;638;533;2028;ohc;four;97;2bbl;315;329;94;69;5200;31;37;7799
97;1;nissan latio;gas;std;four;sedan;fwd;front;945;1653;638;545;1971;ohc;four;97;2bbl;315;329;94;69;5200;31;37;7499
98;1;nissan note;gas;std;four;wagon;fwd;front;945;1702;638;535;2037;ohc;four;97;2bbl;315;329;94;69;5200;31;37;7999
99;2;nissan clipper;gas;std;two;hardtop;fwd;front;951;1624;638;533;2008;ohc;four;97;2bbl;315;329;94;69;5200;31;37;8249
100;0;nissan rogue;gas;std;four;hatchback;fwd;front;972;1734;652;547;2324;ohc;four;120;2bbl;333;347;85;97;5200;27;34;8949
101;0;nissan nv200;gas;std;four;sedan;fwd;front;972;1734;652;547;2302;ohc;four;120;2bbl;333;347;85;97;5200;27;34;9549
102;0;nissan dayz;gas;std;four;sedan;fwd;front;1004;1817;665;551;3095;ohcv;six;181;mpfi;343;327;9;152;5200;17;22;13499
103;0;nissan fuga;gas;std;four;wagon;fwd;front;1004;1846;665;561;3296;ohcv;six;181;mpfi;343;327;9;152;5200;17;22;14399
104;0;nissan otti;gas;std;four;sedan;fwd;front;1004;1846;665;551;3060;ohcv;six;181;mpfi;343;327;9;152;5200;19;25;13499
105;3;nissan teana;gas;std;two;hatchback;rwd;front;913;1707;679;497;3071;ohcv;six;181;mpfi;343;327;9;160;5200;19;25;17199
106;3;nissan kicks;gas;turbo;two;hatchback;rwd;front;913;1707;679;497;3139;ohcv;six;181;mpfi;343;327;78;200;5200;17;23;19699
107;1;nissan clipper;gas;std;two;hatchback;rwd;front;992;1785;679;497;3139;ohcv;six;181;mpfi;343;327;9;160;5200;19;25;18399
108;0;peugeot 504;gas;std;four;sedan;rwd;front;1079;1867;684;567;3020;l;four;120;mpfi;346;319;84;97;5000;19;24;11900
109;0;peugeot 304;diesel;turbo;four;sedan;rwd;front;1079;1867;684;567;3197;l;four;152;idi;37;352;21;95;4150;28;33;13200
110;0;peugeot 504 (sw);gas;std;four;wagon;rwd;front;1142;1989;684;587;3230;l;four;120;mpfi;346;319;84;97;5000;19;24;12440
111;0;peugeot 504;diesel;turbo;four;wagon;rwd;front;1142;1989;684;587;3430;l;four;152;idi;37;352;21;95;4150;25;25;13860
112;0;peugeot 504;gas;std;four;sedan;rwd;front;1079;1867;684;567;3075;l;four;120;mpfi;346;219;84;95;5000;19;24;15580
113;0;peugeot 604sl;diesel;turbo;four;sedan;rwd;front;1079;1867;684;567;3252;l;four;152;idi;37;352;21;95;4150;28;33;16900
114;0;peugeot 504;gas;std;four;wagon;rwd;front;1142;1989;684;567;3285;l;four;120;mpfi;346;219;84;95;5000;19;24;16695
115;0;peugeot 505s turbo diesel;diesel;turbo;four;wagon;rwd;front;1142;1989;684;587;3485;l;four;152;idi;37;352;21;95;4150;25;25;17075
116;0;peugeot 504;gas;std;four;sedan;rwd;front;1079;1867;684;567;3075;l;four;120;mpfi;346;319;84;97;5000;19;24;16630
117;0;peugeot 504;diesel;turbo;four;sedan;rwd;front;1079;1867;684;567;3252;l;four;152;idi;37;352;21;95;4150;28;33;17950
118;0;peugeot 604sl;gas;turbo;four;sedan;rwd;front;108;1867;683;56;3130;l;four;134;mpfi;361;321;7;142;5600;18;24;18150
119;1;plymouth fury iii;gas;std;two;hatchback;fwd;front;937;1573;638;508;1918;ohc;four;90;2bbl;297;323;94;68;5500;37;41;5572
120;1;plymouth cricket;gas;turbo;two;hatchback;fwd;front;937;1573;638;508;2128;ohc;four;98;spdi;303;339;76;102;5500;24;30;7957
121;1;plymouth fury iii;gas;std;four;hatchback;fwd;front;937;1573;638;506;1967;ohc;four;90;2bbl;297;323;94;68;5500;31;38;6229
122;1;plymouth satellite custom (sw);gas;std;four;sedan;fwd;front;937;1673;638;508;1989;ohc;four;90;2bbl;297;323;94;68;5500;31;38;6692
123;1;plymouth fury gran sedan;gas;std;four;sedan;fwd;front;937;1673;638;508;2191;ohc;four;98;2bbl;297;323;94;68;5500;31;38;7609
124;-1;plymouth valiant;gas;std;four;wagon;fwd;front;1033;1746;646;598;2535;ohc;four;122;2bbl;335;346;85;88;5000;24;30;8921
125;3;plymouth duster;gas;turbo;two;hatchback;rwd;front;959;1732;663;502;2818;ohc;four;156;spdi;359;386;7;145;5000;19;24;12764
126;3;porsche macan;gas;std;two;hatchback;rwd;front;945;1689;683;502;2778;ohc;four;151;mpfi;394;311;95;143;5500;19;27;22018
127;3;porcshce panamera;gas;std;two;hardtop;rwd;rear;895;1689;65;516;2756;ohcf;six;194;mpfi;374;29;95;207;5900;17;25;32528
128;3;porsche cayenne;gas;std;two;hardtop;rwd;rear;895;1689;65;516;2756;ohcf;six;194;mpfi;374;29;95;207;5900;17;25;34028
129;3;porsche boxter;gas;std;two;convertible;rwd;rear;895;1689;65;516;2800;ohcf;six;194;mpfi;374;29;95;207;5900;17;25;37028
130;1;porsche cayenne;gas;std;two;hatchback;rwd;front;984;1757;723;505;3366;dohcv;eight;203;mpfi;394;311;10;288;5750;17;28;314005
131;0;renault 12tl;gas;std;four;wagon;fwd;front;961;1815;665;552;2579;ohc;four;132;mpfi;346;39;87;90;5100;23;31;9295
132;2;renault 5 gtl;gas;std;two;hatchback;fwd;front;961;1768;666;505;2460;ohc;four;132;mpfi;346;39;87;90;5100;23;31;9895
133;3;saab 99e;gas;std;two;hatchback;fwd;front;991;1866;665;561;2658;ohc;four;121;mpfi;354;307;931;110;5250;21;28;11850
134;2;saab 99le;gas;std;four;sedan;fwd;front;991;1866;665;561;2695;ohc;four;121;mpfi;354;307;93;110;5250;21;28;12170
135;3;saab 99le;gas;std;two;hatchback;fwd;front;991;1866;665;561;2707;ohc;four;121;mpfi;254;207;93;110;5250;21;28;15040
136;2;saab 99gle;gas;std;four;sedan;fwd;front;991;1866;665;561;2758;ohc;four;121;mpfi;354;307;93;110;5250;21;28;15510
137;3;saab 99gle;gas;turbo;two;hatchback;fwd;front;991;1866;665;561;2808;dohc;four;121;mpfi;354;307;9;160;5500;19;26;18150
138;2;saab 99e;gas;turbo;four;sedan;fwd;front;991;1866;665;561;2847;dohc;four;121;mpfi;354;307;9;160;5500;19;26;18620
139;2;subaru;gas;std;two;hatchback;fwd;front;937;1569;634;537;2050;ohcf;four;97;2bbl;362;236;9;69;4900;31;36;5118
140;2;subaru dl;gas;std;two;hatchback;fwd;front;937;1579;636;537;2120;ohcf;four;108;2bbl;362;264;87;73;4400;26;31;7053
141;2;subaru dl;gas;std;two;hatchback;4wd;front;933;1573;638;557;2240;ohcf;four;108;2bbl;362;264;87;73;4400;26;31;7603
142;0;subaru;gas;std;four;sedan;fwd;front;972;172;654;525;2145;ohcf;four;108;2bbl;362;264;95;82;4800;32;37;7126
143;0;subaru brz;gas;std;four;sedan;fwd;front;972;172;654;525;2190;ohcf;four;108;2bbl;362;264;95;82;4400;28;33;7775
144;0;subaru baja;gas;std;four;sedan;fwd;front;972;172;654;525;2340;ohcf;four;108;mpfi;362;264;9;94;5200;26;32;9960
145;0;subaru r1;gas;std;four;sedan;4wd;front;97;172;654;543;2385;ohcf;four;108;2bbl;362;264;9;82;4800;24;25;9233
146;0;subaru r2;gas;turbo;four;sedan;4wd;front;97;172;654;543;2510;ohcf;four;108;mpfi;362;264;77;111;4800;24;29;11259
147;0;subaru trezia;gas;std;four;wagon;fwd;front;97;1735;654;53;2290;ohcf;four;108;2bbl;362;264;9;82;4800;28;32;7463
148;0;subaru tribeca;gas;std;four;wagon;fwd;front;97;1735;654;53;2455;ohcf;four;108;mpfi;362;264;9;94;5200;25;31;10198
149;0;subaru dl;gas;std;four;wagon;4wd;front;969;1736;654;549;2420;ohcf;four;108;2bbl;362;264;9;82;4800;23;29;8013
150;0;subaru dl;gas;turbo;four;wagon;4wd;front;969;1736;654;549;2650;ohcf;four;108;mpfi;362;264;77;111;4800;23;23;11694
151;1;toyota corona mark ii;gas;std;two;hatchback;fwd;front;957;1587;636;545;1985;ohc;four;92;2bbl;305;303;9;62;4800;35;39;5348
152;1;toyota corona;gas;std;two;hatchback;fwd;front;957;1587;636;545;2040;ohc;four;92;2bbl;305;303;9;62;4800;31;38;6338
153;1;toyota corolla 1200;gas;std;four;hatchback;fwd;front;957;1587;636;545;2015;ohc;four;92;2bbl;305;303;9;62;4800;31;38;6488
154;0;toyota corona hardtop;gas;std;four;wagon;fwd;front;957;1697;636;591;2280;ohc;four;92;2bbl;305;303;9;62;4800;31;37;6918
155;0;toyota corolla 1600 (sw);gas;std;four;wagon;4wd;front;957;1697;636;591;2290;ohc;four;92;2bbl;305;303;9;62;4800;27;32;7898
156;0;toyota carina;gas;std;four;wagon;4wd;front;957;1697;636;591;3110;ohc;four;92;2bbl;305;303;9;62;4800;27;32;8778
157;0;toyota mark ii;gas;std;four;sedan;fwd;front;957;1663;644;53;2081;ohc;four;98;2bbl;319;303;9;70;4800;30;37;6938
158;0;toyota corolla 1200;gas;std;four;hatchback;fwd;front;957;1663;644;528;2109;ohc;four;98;2bbl;319;303;9;70;4800;30;37;7198
159;0;toyota corona;diesel;std;four;sedan;fwd;front;957;1663;644;53;2275;ohc;four;110;idi;327;335;225;56;4500;34;36;7898
160;0;toyota corolla;diesel;std;four;hatchback;fwd;front;957;1663;644;528;2275;ohc;four;110;idi;327;335;225;56;4500;38;47;7788
161;0;toyota corona;gas;std;four;sedan;fwd;front;957;1663;644;53;2094;ohc;four;98;2bbl;319;303;9;70;4800;38;47;7738
162;0;toyota corolla;gas;std;four;hatchback;fwd;front;957;1663;644;528;2122;ohc;four;98;2bbl;319;303;9;70;4800;28;34;8358
163;0;toyota mark ii;gas;std;four;sedan;fwd;front;957;1663;644;528;2140;ohc;four;98;2bbl;319;303;9;70;4800;28;34;9258
164;1;toyota corolla liftback;gas;std;two;sedan;rwd;front;945;1687;64;526;2169;ohc;four;98;2bbl;319;303;9;70;4800;29;34;8058
165;1;toyota corona;gas;std;two;hatchback;rwd;front;945;1687;64;526;2204;ohc;four;98;2bbl;319;303;9;70;4800;29;34;8238
166;1;toyota celica gt liftback;gas;std;two;sedan;rwd;front;945;1687;64;526;2265;dohc;four;98;mpfi;324;308;94;112;6600;26;29;9298
167;1;toyota corolla tercel;gas;std;two;hatchback;rwd;front;945;1687;64;526;2300;dohc;four;98;mpfi;324;308;94;112;6600;26;29;9538
168;2;toyota corona liftback;gas;std;two;hardtop;rwd;front;984;1762;656;52;2540;ohc;four;146;mpfi;362;35;93;116;4800;24;30;8449
169;2;toyota corolla;gas;std;two;hardtop;rwd;front;984;1762;656;52;2536;ohc;four;146;mpfi;362;35;93;116;4800;24;30;9639
170;2;toyota starlet;gas;std;two;hatchback;rwd;front;984;1762;656;52;2551;ohc;four;146;mpfi;362;35;93;116;4800;24;30;9989
171;2;toyota tercel;gas;std;two;hardtop;rwd;front;984;1762;656;52;2679;ohc;four;146;mpfi;362;35;93;116;4800;24;30;11199
172;2;toyota corolla;gas;std;two;hatchback;rwd;front;984;1762;656;52;2714;ohc;four;146;mpfi;362;35;93;116;4800;24;30;11549
173;2;toyota cressida;gas;std;two;convertible;rwd;front;984;1762;656;53;2975;ohc;four;146;mpfi;362;35;93;116;4800;24;30;17669
174;-1;toyota corolla;gas;std;four;sedan;fwd;front;1024;1756;665;549;2326;ohc;four;122;mpfi;331;354;87;92;4200;29;34;8948
175;-1;toyota celica gt;diesel;turbo;four;sedan;fwd;front;1024;1756;665;549;2480;ohc;four;110;idi;327;335;225;73;4500;30;33;10698
176;-1;toyota corona;gas;std;four;hatchback;fwd;front;1024;1756;665;539;2414;ohc;four;122;mpfi;331;354;87;92;4200;27;32;9988
177;-1;toyota corolla;gas;std;four;sedan;fwd;front;1024;1756;665;549;2414;ohc;four;122;mpfi;331;354;87;92;4200;27;32;10898
178;-1;toyota mark ii;gas;std;four;hatchback;fwd;front;1024;1756;665;539;2458;ohc;four;122;mpfi;331;354;87;92;4200;27;32;11248
179;3;toyota corolla liftback;gas;std;two;hatchback;rwd;front;1029;1835;677;52;2976;dohc;six;171;mpfi;327;335;93;161;5200;20;24;16558
180;3;toyota corona;gas;std;two;hatchback;rwd;front;1029;1835;677;52;3016;dohc;six;171;mpfi;327;335;93;161;5200;19;24;15998
181;-1;toyota starlet;gas;std;four;sedan;rwd;front;1045;1878;665;541;3131;dohc;six;171;mpfi;327;335;92;156;5200;20;24;15690
182;-1;toyouta tercel;gas;std;four;wagon;rwd;front;1045;1878;665;541;3151;dohc;six;161;mpfi;327;335;92;156;5200;19;24;15750
183;2;vokswagen rabbit;diesel;std;two;sedan;fwd;front;973;1717;655;557;2261;ohc;four;97;idi;301;34;23;52;4800;37;46;7775
184;2;volkswagen 1131 deluxe sedan;gas;std;two;sedan;fwd;front;973;1717;655;557;2209;ohc;four;109;mpfi;319;34;9;85;5250;27;34;7975
185;2;volkswagen model 111;diesel;std;four;sedan;fwd;front;973;1717;655;557;2264;ohc;four;97;idi;301;34;23;52;4800;37;46;7995
186;2;volkswagen type 3;gas;std;four;sedan;fwd;front;973;1717;655;557;2212;ohc;four;109;mpfi;319;34;9;85;5250;27;34;8195
187;2;volkswagen 411 (sw);gas;std;four;sedan;fwd;front;973;1717;655;557;2275;ohc;four;109;mpfi;319;34;9;85;5250;27;34;8495
188;2;volkswagen super beetle;diesel;turbo;four;sedan;fwd;front;973;1717;655;557;2319;ohc;four;97;idi;301;34;23;68;4500;37;42;9495
